iter	Passed	Remaining
175	6999	32770
176	7040	32738
177	7085	32720
178	7126	32688
179	7169	32660
180	7211	32630
181	7251	32590
182	7298	32582
183	7341	32556
184	7382	32524
185	7422	32484
186	7461	32441
187	7508	32432
188	7553	32411
189	7591	32365
190	7632	32329
191	7671	32284
192	7710	32238
193	7755	32220
194	7795	32181
195	7840	32162
196	7886	32148
197	7938	32156
198	7987	32151
199	8032	32131
200	8074	32096
201	8125	32098
202	8171	32080
203	8252	32202
204	8303	32202
205	8346	32169
206	8384	32121
207	8465	32232
208	8524	32261
209	8593	32327
210	8677	32447
211	8732	32457
212	8804	32532
213	8858	32536
214	8916	32554
215	8984	32610
216	9037	32608
217	9102	32653
218	9166	32690
219	9225	32708
220	9286	32735
221	9346	32753
222	9389	32714
223	9440	32703
224	9489	32687
225	9537	32663
226	9589	32655
227	9639	32640
228	9703	32671
229	9773	32720
230	9826	32714
231	9886	32728
232	9955	32771
233	10020	32800
234	10074	32795
235	10139	32823
236	10187	32796
237	10233	32765
238	10304	32809
239	10356	32794
240	10405	32769
241	10452	32740
242	10503	32722
243	10550	32688
244	10594	32649
245	10640	32614
246	10691	32593
247	10736	32556
248	10782	32519
249	10822	32467
250	10879	32463
251	10925	32430
252	10975	32406
253	11016	32356
254	11063	32322
255	11110	32289
256	11154	32247
257	11205	32226
258	11250	32188
259	11299	32160
260	11343	32117
261	11400	32112
262	11487	32192
263	11560	32229
264	11601	32176
265	11645	32135
266	11683	32074
267	11726	32028
268	11759	31955
269	11825	31973
270	11905	32026
271	11977	32056
272	12039	32061
273	12082	32012
274	12143	32015
275	12204	32013
276	12254	31985
277	12314	31982
278	12378	31988
279	12432	31970
280	12493	31966
281	12541	31932
282	12612	31955
283	12673	31951
284	12717	31904
285	12767	31874
286	12817	31841
287	12860	31794
288	12905	31749
289	12947	31699
290	12996	31665
291	13044	31627
292	13097	31603
293	13147	31572
294	13197	31538
295	13245	31502
296	13289	31455
297	13323	31386
298	13362	31327
299	13395	31255
300	13430	31190
301	13463	31117
302	13503	31062
303	13539	30999
304	13575	30934
305	13612	30872
306	13647	30807
307	13683	30743
308	13719	30679
309	13755	30616
310	13792	30555
311	13826	30488
312	13861	30424
313	13897	30363
314	13938	30310
315	13975	30250
316	14014	30195
317	14054	30141
318	14090	30079
319	14130	30026
320	14168	29970
321	14207	29914
322	14243	29854
323	14283	29801
324	14318	29739
325	14357	29683
326	14399	29635
327	14440	29584
328	14477	29528
329	14522	29485
330	14558	29424
331	14598	29373
332	14634	29313
333	14670	29253
334	14707	29195
335	14744	29138
336	14781	29080
337	14815	29018
338	14850	28956
339	14886	28897
340	14922	28838
341	14958	28780
342	14998	28728
343	15035	28672
344	15076	28623
345	15114	28569
346	15150	28510
347	15188	28455
348	15225	28400
349	15264	28349
350	15301	28292
351	15335	28231
352	15368	28168
353	15402	28107
354	15443	28059
355	15480	28004
356	15516	27947
357	15553	27892
358	15591	27839
359	15629	27785
360	15671	27739
361	15713	27694
362	15754	27645
363	15792	27592
364	15828	27537
365	15860	27474
366	15897	27420
367	15933	27363
368	15969	27308
369	16012	27265
370	16053	27217
371	16090	27163
372	16135	27123
373	16169	27064
374	16210	27017
375	16248	26964
376	16283	26909
377	16319	26854
378	16359	26805
379	16393	26746
380	16429	26693
381	16469	26643
382	16502	26585
383	16540	26534
384	16578	26482
385	16612	26425
386	16647	26369
387	16684	26317
388	16722	26265
389	16758	26211
390	16793	26156
391	16830	26104
392	16873	26061
393	16912	26012
394	16948	25959
395	16982	25902
396	17018	25849
397	17052	25793
398	17092	25745
399	17125	25688
400	17161	25635
401	17197	25582
402	17233	25529
403	17272	25481
404	17307	25426
405	17341	25371
406	17378	25319
407	17415	25269
408	17449	25214
409	17482	25157
410	17516	25102
411	17550	25047
412	17587	24996
413	17619	24939
414	17654	24887
415	17687	24830
416	17718	24771
417	17756	24723
418	17791	24670
419	17824	24615
420	17859	24562
421	17895	24511
422	17933	24463
423	17966	24406
424	18007	24362
425	18044	24313
426	18081	24264
427	18121	24218
428	18158	24169
429	18194	24118
430	18228	24064
431	18268	24019
432	18311	23978
433	18356	23940
434	18388	23883
435	18428	23838
436	18466	23790
437	18517	23759
438	18564	23723
439	18608	23683
440	18657	23649
441	18704	23613
442	18748	23573
443	18791	23531
444	18841	23499
445	18885	23459
446	18935	23426
447	18986	23393
448	19037	23361
449	19083	23324
450	19130	23286
451	19173	23245
452	19220	23208
453	19270	23175
454	19320	23141
455	19372	23111
456	19426	23082
457	19485	23059
458	19536	23027
459	19591	22998
460	19634	22956
461	19682	22920
462	19732	22886
463	19783	22853
464	19835	22820
465	19879	22779
466	19926	22742
467	19978	22711
468	20027	22675
469	20077	22640
470	20123	22601
471	20171	22565
472	20223	22532
473	20271	22495
474	20319	22457
475	20371	22425
476	20421	22391
477	20477	22362
478	20531	22331
479	20580	22295
480	20626	22255
481	20677	22221
482	20721	22180
483	20767	22140
484	20819	22107
485	20875	22077
486	20930	22047
487	20983	22015
488	21035	21982
489	21088	21949
490	21130	21905
491	21170	21859
492	21228	21831
493	21266	21782
494	21317	21748
495	21378	21723
496	21424	21683
497	21468	21640
498	21512	21598
499	21562	21562
500	21608	21522
501	21652	21479
502	21701	21443
503	21750	21405
504	21800	21369
505	21853	21335
506	21910	21305
507	21959	21267
508	22007	21229
509	22074	21208
510	22134	21181
511	22193	21153
512	22253	21125
513	22313	21098
514	22372	21069
515	22431	21040
516	22497	21018
517	22549	20982
518	22613	20957
519	22680	20935
520	22740	20907
521	22802	20880
522	22874	20862
523	22938	20836
524	22999	20809
525	23066	20785
526	23128	20758
527	23183	20724
528	23242	20693
529	23297	20660
530	23345	20619
531	23393	20579
532	23437	20535
533	23484	20493
534	23526	20448
535	23568	20402
536	23614	20360
537	23662	20319
538	23710	20278
539	23756	20237
540	23794	20188
541	23838	20144
542	23882	20100
543	23928	20057
544	23977	20018
545	24017	19971
546	24062	19927
547	24104	19882
548	24146	19836
549	24192	19793
550	24236	19749
551	24280	19706
552	24328	19665
553	24374	19622
554	24420	19580
555	24466	19537
556	24515	19498
557	24559	19453
558	24607	19412
559	24649	19367
560	24688	19319
561	24731	19274
562	24775	19230
563	24827	19192
564	24867	19145
565	24915	19104
566	24959	19060
567	25001	19015
568	25047	18972
569	25092	18929
570	25140	18888
571	25186	18846
572	25230	18801
573	25272	18756
574	25317	18712
575	25360	18668
576	25402	18622
577	25437	18572
578	25475	18523
579	25514	18475
580	25552	18427
581	25590	18379
582	25631	18333
583	25670	18285
584	25707	18236
585	25748	18190
586	25785	18141
587	25821	18092
588	25858	18044
589	25897	17996
590	25934	17947
591	25969	17898
592	26006	17849
593	26043	17800
594	26081	17753
595	26119	17705
596	26158	17657
597	26199	17612
598	26233	17562
599	26267	17511
600	26301	17461
601	26337	17412
602	26376	17365
603	26416	17319
604	26452	17270
605	26492	17224
606	26533	17178
607	26571	17131
608	26607	17082
609	26644	17035
610	26680	16986
611	26717	16938
612	26753	16890
613	26789	16841
614	26825	16792
615	26859	16743
616	26895	16695
617	26926	16643
618	26960	16594
619	26992	16543
620	27028	16495
621	27062	16446
622	27096	16397
623	27132	16349
624	27169	16301
625	27210	16256
626	27246	16208
627	27283	16161
628	27322	16115
629	27357	16067
630	27396	16021
631	27432	15973
632	27478	15931
633	27517	15885
634	27556	15839
635	27592	15791
636	27627	15744
637	27668	15699
638	27702	15650
639	27745	15606
640	27780	15559
641	27815	15510
642	27851	15463
643	27888	15416
644	27918	15365
645	27951	15316
646	27984	15268
647	28022	15222
648	28055	15173
649	28093	15127
650	28128	15079
651	28167	15034
652	28207	14989
653	28243	14942
654	28276	14893
655	28312	14846
656	28348	14800
657	28395	14758
658	28472	14732
659	28522	14693
660	28554	14644
661	28596	14600
662	28637	14556
663	28712	14529
664	28769	14492
665	28815	14450
666	28871	14413
667	28945	14386
668	29024	14360
669	29081	14323
670	29133	14284
671	29202	14253
672	29255	14214
673	29308	14175
674	29375	14143
675	29442	14111
676	29507	14078
677	29556	14037
678	29598	13992
679	29650	13953
680	29696	13910
681	29755	13874
682	29797	13829
683	29847	13789
684	29905	13751
685	29961	13714
686	30011	13673
687	30059	13631
688	30110	13591
689	30157	13548
690	30206	13507
691	30256	13466
692	30304	13424
693	30356	13384
694	30407	13344
695	30454	13302
696	30506	13261
697	30557	13221
698	30605	13179
699	30652	13136
700	30699	13094
701	30750	13053
702	30793	13009
703	30845	12968
704	30890	12925
705	30936	12883
706	30985	12841
707	31035	12799
708	31082	12757
709	31130	12715
710	31181	12674
711	31230	12632
712	31281	12591
713	31331	12550
714	31382	12509
715	31433	12467
716	31476	12423
717	31524	12381
718	31572	12339
719	31618	12296
720	31666	12253
721	31716	12212
722	31767	12171
723	31816	12128
724	31864	12086
725	31912	12044
726	31962	12002
727	32010	11959
728	32062	11918
729	32106	11874
730	32155	11832
731	32212	11793
732	32261	11751
733	32306	11707
734	32357	11666
735	32403	11623
736	32453	11581
737	32501	11538
738	32552	11496
739	32604	11455
740	32651	11412
741	32698	11369
742	32747	11327
743	32792	11283
744	32838	11240
745	32898	11201
746	32971	11167
747	33044	11132
748	33111	11096
749	33182	11060
750	33251	11024
751	33322	10989
752	33385	10951
753	33442	10910
754	33485	10866
755	33535	10823
756	33584	10780
757	33631	10737
758	33675	10692
759	33719	10648
760	33753	10600
761	33791	10554
762	33832	10508
763	33869	10462
764	33912	10417
765	33949	10370
766	33985	10324
767	34023	10277
768	34064	10232
769	34101	10186
770	34150	10143
771	34195	10099
772	34233	10053
773	34271	10007
774	34308	9960
775	34346	9914
776	34378	9866
777	34416	9820
778	34456	9775
779	34492	9728
780	34529	9682
781	34562	9635
782	34603	9590
783	34643	9544
784	34680	9498
785	34719	9452
786	34753	9406
787	34788	9359
788	34824	9313
789	34859	9266
790	34896	9220
791	34935	9174
792	34973	9129
793	35012	9083
794	35051	9038
795	35089	8992
796	35126	8947
797	35164	8901
798	35203	8855
799	35241	8810
800	35275	8763
801	35309	8717
802	35343	8670
803	35380	8625
804	35415	8579
805	35451	8533
806	35488	8487
807	35525	8441
808	35560	8395
809	35597	8349
810	35630	8303
811	35667	8257
812	35703	8212
813	35740	8166
814	35779	8121
815	35815	8076
816	35852	8030
817	35888	7985
818	35928	7940
819	35967	7895
820	36001	7849
821	36038	7803
822	36075	7758
823	36110	7713
824	36150	7668
825	36187	7623
826	36222	7577
827	36257	7531
828	36289	7485
829	36322	7439
830	36357	7394
831	36394	7348
832	36434	7304
833	36471	7259
834	36507	7213
835	36544	7169
836	36579	7123
837	36615	7078
838	36651	7033
839	36685	6987
840	36720	6942
841	36755	6897
842	36794	6852
843	36826	6806
844	36864	6762
845	36901	6717
846	36936	6672
847	36976	6627
848	37006	6581
849	37039	6536
850	37075	6491
851	37112	6446
852	37148	6401
853	37185	6357
854	37219	6312
855	37257	6267
856	37300	6223
857	37336	6179
858	37373	6134
859	37409	6089
860	37447	6045
861	37485	6001
862	37519	5956
863	37559	5912
864	37598	5867
865	37635	5823
866	37671	5778
867	37708	5734
868	37745	5690
869	37784	5645
870	37819	5601
871	37858	5557
872	37895	5512
873	37933	5468
874	37984	5426
875	38041	5384
876	38094	5342
877	38145	5300
878	38197	5258
879	38251	5216
880	38295	5172
881	38342	5129
882	38391	5086
883	38457	5046
884	38518	5005
885	38616	4968
886	38688	4928
887	38749	4887
888	38810	4845
889	38865	4803
890	38923	4761
891	38983	4719
892	39041	4677
893	39103	4636
894	39165	4594
895	39219	4552
896	39275	4509
897	39332	4467
898	39395	4425
899	39471	4385
900	39555	4346
901	39626	4305
902	39696	4264
903	39771	4223
904	39827	4180
905	39876	4137
906	39920	4093
907	39972	4050
908	40012	4005
909	40080	3964
910	40158	3923
911	40236	3882
912	40302	3840
913	40361	3797
914	40434	3756
915	40496	3713
916	40562	3671
917	40628	3629
918	40692	3586
919	40751	3543
920	40827	3502
921	40921	3461
922	40994	3419
923	41064	3377
924	41120	3334
925	41184	3291
926	41266	3249
927	41349	3208
928	41445	3167
929	41499	3123
930	41569	3080
931	41664	3039
932	41731	2996
933	41812	2954
934	41874	2911
935	41931	2867
936	41984	2822
937	42034	2778
938	42084	2733
939	42127	2688
940	42175	2644
941	42220	2599
942	42268	2554
943	42320	2510
944	42373	2466
945	42425	2421
946	42483	2377
947	42534	2333
948	42586	2288
949	42640	2244
950	42692	2199
951	42740	2154
952	42789	2110
953	42838	2065
954	42892	2021
955	42948	1976
956	42993	1931
957	43041	1887
958	43090	1842
959	43140	1797
960	43197	1753
961	43240	1708
962	43288	1663
963	43338	1618
964	43386	1573
965	43430	1528
966	43472	1483
967	43507	1438
968	43541	1392
969	43578	1347
970	43612	1302
971	43651	1257
972	43688	1212
973	43729	1167
974	43769	1122
975	43806	1077
976	43843	1032
977	43881	987
978	43918	942
979	43959	897
980	43995	852
981	44034	807
982	44075	762
983	44112	717
984	44149	672
985	44187	627
986	44225	582
987	44261	537
988	44299	492
989	44337	447
990	44378	403
991	44415	358
992	44453	313
993	44491	268
994	44531	223
995	44571	179
996	44612	134
997	44652	89
998	44689	44
999	44725	0
