iter	Logloss
0	0.517386546
1	0.4178490027
2	0.3640490123
3	0.332893106
4	0.3154409632
5	0.3025642791
6	0.2941795108
7	0.2880526069
8	0.2834273951
9	0.2801151294
10	0.2777510347
11	0.2762152432
12	0.2746518785
13	0.2733353859
14	0.2722870718
15	0.2712453106
16	0.2705971523
17	0.2701580553
18	0.2697078932
19	0.2695173469
20	0.2692297994
21	0.2689030225
22	0.2686289818
23	0.2684770624
24	0.2683573592
25	0.2680199597
26	0.2678784342
27	0.2677193156
28	0.2675922967
29	0.2674872306
30	0.2674120369
31	0.2672832187
32	0.2672362239
33	0.2671669302
34	0.2670769045
35	0.2669034386
36	0.2668448671
37	0.2667797831
38	0.2667321598
39	0.2666515882
40	0.266610856
41	0.2665745954
42	0.2665302659
43	0.2663894205
44	0.2663530202
45	0.2663093412
46	0.2662702565
47	0.2662269952
48	0.2661614801
49	0.2661281454
50	0.2660851598
51	0.2659650947
52	0.265881735
53	0.2658310188
54	0.2658027638
55	0.2657627508
56	0.2657136411
57	0.2656959634
58	0.2656513493
59	0.2656113779
60	0.265586918
61	0.2655363834
62	0.2655127572
63	0.2654718334
64	0.265446062
65	0.265421572
66	0.2653881516
67	0.2653566404
68	0.265332116
69	0.2653101242
70	0.2652922355
71	0.2652496924
72	0.265224905
73	0.2651983812
74	0.2651594754
75	0.2651372946
76	0.2651076128
77	0.2650739801
78	0.2650429408
79	0.2650288877
80	0.2650068786
81	0.2649700287
82	0.2649256418
83	0.2649168272
84	0.2648847366
85	0.2648469688
86	0.2648295004
87	0.2648107015
88	0.2647958603
89	0.2647769921
90	0.2647555701
91	0.2647217744
92	0.2647102115
93	0.2646832548
94	0.2646546805
95	0.2646351192
96	0.2646216447
97	0.2645923861
98	0.2645736423
99	0.2645480181
100	0.2644987397
101	0.2644748686
102	0.2644595683
103	0.2644349668
104	0.2644068667
105	0.2643909181
106	0.2643739053
107	0.2643534648
108	0.2643363361
109	0.2643123969
110	0.2642869286
111	0.2642706709
112	0.2642372079
113	0.2642187953
114	0.2641948902
115	0.2641460069
116	0.2641216275
117	0.2641055923
118	0.2640725384
119	0.2640532883
120	0.264027234
121	0.2640059424
122	0.2639883285
123	0.2639679948
124	0.2639488291
125	0.2639209848
126	0.2638989963
127	0.2638642984
128	0.2638199612
129	0.2637946191
130	0.2637517967
131	0.2637334194
132	0.2637063211
133	0.2636804932
134	0.2636615019
135	0.2636376128
136	0.2636083214
137	0.2635938845
138	0.2635722214
139	0.2635483548
140	0.2635195086
141	0.2634989665
142	0.2634801206
143	0.2634599417
144	0.2634327225
145	0.2634150495
146	0.2634022445
147	0.2633706664
148	0.2633540571
149	0.2633286334
150	0.2633103243
151	0.2632935564
152	0.263267573
153	0.2632391535
154	0.263216586
155	0.2631973005
156	0.2631824385
157	0.2631596144
158	0.2631357307
159	0.263112553
160	0.2630951881
161	0.263069974
162	0.2630444955
163	0.2629998156
164	0.2629749723
165	0.2629425805
166	0.2629188373
167	0.2628928635
168	0.2628748788
169	0.2628531944
170	0.2628337877
171	0.2628191726
172	0.2627917035
173	0.2627696947
174	0.2627437756
175	0.2627334898
176	0.2627156189
177	0.2626947343
178	0.2626710367
179	0.2626520111
180	0.2626282993
181	0.2626124269
182	0.2625936742
183	0.2625781835
184	0.2625663874
185	0.2625443506
186	0.262526894
187	0.2625036754
188	0.2624841788
189	0.2624662618
190	0.2624519572
191	0.2624359342
192	0.2624178347
193	0.2623977609
194	0.262369713
195	0.2623584303
196	0.2623279768
197	0.2623081136
198	0.2622881296
199	0.2622757559
200	0.2622599875
201	0.2622457418
202	0.2622265251
203	0.2622096666
204	0.2621836196
205	0.26215487
206	0.2621406004
207	0.2621161365
208	0.2620907707
209	0.2620695916
210	0.262040823
211	0.2620248435
212	0.26200784
213	0.2619922782
214	0.2619771638
215	0.2619611945
216	0.2619487222
217	0.2619297573
218	0.2619085105
219	0.2618838803
220	0.2618528006
221	0.2618304088
222	0.26181698
223	0.2617947126
224	0.2617807009
225	0.2617723334
226	0.2617553854
227	0.2617408468
228	0.2617304529
229	0.2617199787
230	0.2617014146
231	0.2616887679
232	0.2616748829
233	0.2616573703
234	0.2616375163
235	0.2616285914
236	0.2616139657
237	0.2615932515
238	0.2615776404
239	0.261555476
240	0.2615368695
241	0.2615152934
242	0.2614914189
243	0.2614728467
244	0.2614529271
245	0.2614341126
246	0.261411076
247	0.2613978392
248	0.2613801899
249	0.2613691955
250	0.2613475717
251	0.261332998
252	0.2613104611
253	0.2612913481
254	0.2612753478
255	0.2612549631
256	0.2612368696
257	0.261219754
258	0.2612079519
259	0.2611904382
260	0.2611699589
261	0.2611514698
262	0.261137604
263	0.2611234509
264	0.2611090804
265	0.2610921645
266	0.2610708548
267	0.2610559897
268	0.2610448759
269	0.2610257673
270	0.2610082335
271	0.2609894797
272	0.2609796667
273	0.2609586655
274	0.2609379729
275	0.2609228014
276	0.2609021548
277	0.2608827823
278	0.2608702824
279	0.2608508753
280	0.2608364801
281	0.2608140297
282	0.260787187
283	0.2607774598
284	0.2607573294
285	0.260742143
286	0.2607185021
287	0.26070007
288	0.2606818655
289	0.2606655692
290	0.2606531103
291	0.2606289496
292	0.2606143455
293	0.2605905898
294	0.260568174
295	0.2605548859
296	0.2605427536
297	0.2605413683
298	0.2605200416
299	0.2604968679
300	0.2604750808
301	0.2604605101
302	0.2604467405
303	0.2604311648
304	0.2604126378
305	0.2603941311
306	0.2603767085
307	0.2603604696
308	0.2603498949
309	0.2603339252
310	0.2603184588
311	0.2602963315
312	0.2602737867
313	0.2602606676
314	0.2602434872
315	0.2602264655
316	0.260213497
317	0.2601983591
318	0.2601940257
319	0.260170201
320	0.2601458986
321	0.2601304735
322	0.2601117551
323	0.2601003524
324	0.2600868392
325	0.2600655824
326	0.2600453875
327	0.2600260441
328	0.2600200672
329	0.2600051113
330	0.2599918618
331	0.2599827884
332	0.2599644028
333	0.259949184
334	0.2599291596
335	0.2599168119
336	0.2598969812
337	0.2598749893
338	0.2598640798
339	0.2598514215
340	0.2598366456
341	0.259820464
342	0.2598076255
343	0.2597934304
344	0.2597728153
345	0.259757555
346	0.2597435543
347	0.2597228741
348	0.2597092811
349	0.2596941599
350	0.2596823298
351	0.2596675884
352	0.2596479771
353	0.2596318352
354	0.2596170341
355	0.2595953354
356	0.2595779475
357	0.2595523025
358	0.2595288225
359	0.2595180523
360	0.2595096005
361	0.2594964821
362	0.2594768423
363	0.2594612626
364	0.2594378569
365	0.2594184148
366	0.2594031136
367	0.2593855767
368	0.2593737218
369	0.2593647412
370	0.2593504882
371	0.2593346384
372	0.2593188958
373	0.2593074366
374	0.2592898332
375	0.2592800903
376	0.2592786329
377	0.2592674857
378	0.2592566388
379	0.2592433018
380	0.2592339971
381	0.2592231064
382	0.2592100983
383	0.2591965416
384	0.2591871198
385	0.259176057
386	0.2591561255
387	0.259136774
388	0.2591215068
389	0.2591112973
390	0.2591032496
391	0.2590841293
392	0.259068282
393	0.259058004
394	0.2590479061
395	0.2590230225
396	0.2590040044
397	0.2589865959
398	0.258970942
399	0.2589556969
400	0.2589383824
401	0.2589273366
402	0.2589156858
403	0.2588996872
404	0.2588864104
405	0.2588756808
406	0.2588626719
407	0.2588479225
408	0.2588346548
409	0.2588228405
410	0.2588133435
411	0.2587982075
412	0.2587873621
413	0.2587776909
414	0.2587697395
415	0.2587601544
416	0.2587453701
417	0.2587289867
418	0.2587085689
419	0.2586925799
420	0.2586901578
421	0.2586715882
422	0.2586548991
423	0.2586351723
424	0.2586209067
425	0.2586071244
426	0.2585926234
427	0.2585771486
428	0.2585588384
429	0.2585473446
430	0.2585336974
431	0.2585210687
432	0.2585083772
433	0.258497635
434	0.2584730878
435	0.258455766
436	0.258435849
437	0.2584235456
438	0.2584029745
439	0.2583930412
440	0.2583772919
441	0.2583681841
442	0.2583667426
443	0.2583570696
444	0.2583443582
445	0.2583302661
446	0.2583132447
447	0.2582941451
448	0.2582768385
449	0.2582602459
450	0.2582432669
451	0.2582332411
452	0.2582113867
453	0.2581971413
454	0.2581820618
455	0.2581677815
456	0.2581510912
457	0.258133496
458	0.2581191492
459	0.2581065214
460	0.2580902426
461	0.2580753559
462	0.2580613569
463	0.2580508136
464	0.258033207
465	0.2580200587
466	0.2580050559
467	0.2579812249
468	0.2579606459
469	0.2579465263
470	0.2579395123
471	0.2579328827
472	0.2579192467
473	0.2578959691
474	0.2578798124
475	0.2578661714
476	0.2578537444
477	0.2578430344
478	0.2578249507
479	0.2578113623
480	0.257797942
481	0.25778383
482	0.2577668204
483	0.2577521065
484	0.2577362616
485	0.2577265607
486	0.2577178527
487	0.2577019769
488	0.2576912035
489	0.257677389
490	0.257665203
491	0.2576528586
492	0.2576396278
493	0.2576257457
494	0.2576059266
495	0.2575883742
496	0.2575630035
497	0.2575462803
498	0.2575313292
499	0.2575181936
500	0.2575044759
501	0.257484753
502	0.2574652456
503	0.2574509462
504	0.2574400417
505	0.2574310967
506	0.2574262932
507	0.2574120218
508	0.257396193
509	0.2573834089
510	0.257369604
511	0.2573680465
512	0.2573571945
513	0.2573400108
514	0.2573313905
515	0.2573153004
516	0.2573026644
517	0.2572884313
518	0.2572755761
519	0.2572577981
520	0.2572445435
521	0.2572276834
522	0.2572146437
523	0.2572011125
524	0.2571784222
525	0.2571646368
526	0.2571459415
527	0.2571284848
528	0.2571178788
529	0.2571023537
530	0.2570926535
531	0.2570781048
532	0.2570678067
533	0.2570600156
534	0.2570467964
535	0.2570358691
536	0.2570190589
537	0.2570078204
538	0.2569975545
539	0.2569848951
540	0.2569751785
541	0.2569565179
542	0.2569380561
543	0.2569237766
544	0.2569097156
545	0.2568950972
546	0.2568751361
547	0.256866294
548	0.2568545099
549	0.2568371647
550	0.2568177156
551	0.2568004015
552	0.2567865638
553	0.2567784317
554	0.256766254
555	0.2567513472
556	0.2567366863
557	0.2567239939
558	0.2567173751
559	0.256709099
560	0.2566957809
561	0.2566769219
562	0.2566619883
563	0.2566556085
564	0.2566453948
565	0.2566333829
566	0.256619786
567	0.2566065744
568	0.2565919964
569	0.2565842086
570	0.25657283
571	0.2565655592
572	0.2565557373
573	0.2565451664
574	0.2565342313
575	0.2565197617
576	0.2565052645
577	0.2564967327
578	0.2564834726
579	0.2564723248
580	0.2564618901
581	0.2564443864
582	0.2564315891
583	0.2564160498
584	0.2564019082
585	0.2563865461
586	0.2563806923
587	0.2563683605
588	0.2563513949
589	0.2563366774
590	0.2563153879
591	0.256305987
592	0.2563005732
593	0.2562838221
594	0.2562755316
595	0.2562641336
596	0.256252197
597	0.2562379592
598	0.2562244184
